"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @teddyboygeorge: i want ""animal agriculture is the leading cause of species extinction, ocean dead zones, water pollution, &amp; habitat des…",FALSE,0,NA,2016-10-28 07:28:09,FALSE,NA,"791904371508252674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sidofskins",5,TRUE,FALSE,NA,NA
"2","Tadesse: Land reform opens up opportunities e.g. possibilities for #irrigation #inclusivegrowth #agriculture",FALSE,0,NA,2016-10-28 07:27:47,FALSE,NA,"791904277040074752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","degrp_growth",0,FALSE,FALSE,NA,NA
"3","AgFunder: .nytimes delves into the current state of #agriculture for America's black #farmers … https://t.co/7G9Jk69KpG",FALSE,0,NA,2016-10-28 07:27:45,FALSE,NA,"791904268877979649",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","puritascapital",0,FALSE,FALSE,NA,NA
"4","Investments in agriculture and food systems key to create jobs for #youth Especially in small and medium enterprise… https://t.co/sc0ZhKKLj6",FALSE,0,NA,2016-10-28 07:27:37,TRUE,NA,"791904235428409344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FrankMechielsen",0,FALSE,FALSE,NA,NA
"5","RT @rsamii: Young ppl constitute 75% of #Africa ppl. For #ruraltransformation 2 be successful youth need 2 find #agriculture attractive+joi…",FALSE,0,NA,2016-10-28 07:27:28,FALSE,NA,"791904196836679680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","muthonijason",16,TRUE,FALSE,NA,NA
"6","RT @teddyboygeorge: i want ""animal agriculture is the leading cause of species extinction, ocean dead zones, water pollution, &amp; habitat des…",FALSE,0,NA,2016-10-28 07:27:14,FALSE,NA,"791904138799919104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ghostgrI",5,TRUE,FALSE,NA,NA
"7","Rajasthan promotes progressive farming through live cultivation https://t.co/z7ghk7cS5k",FALSE,1,NA,2016-10-28 07:27:06,FALSE,NA,"791904105253838849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EconomyLead",0,FALSE,FALSE,NA,NA
"8",".@nytimes delves into the current state of #agriculture for America's black #farmers https://t.co/mwB2XWa9nw https://t.co/FZFxdh7H4l",FALSE,0,NA,2016-10-28 07:27:05,FALSE,NA,"791904103958011904",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","AgFunder",0,FALSE,FALSE,NA,NA
"9","RT @teddyboygeorge: i want ""animal agriculture is the leading cause of species extinction, ocean dead zones, water pollution, &amp; habitat des…",FALSE,0,NA,2016-10-28 07:27:05,FALSE,NA,"791904101441347584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","0ldBxy",5,TRUE,FALSE,NA,NA
"10","RT @Jacktonelawi: #InclusiveGrowth literacy levels are still a challenge in growing innovation in Agriculture, Admassu Tadesse",FALSE,0,NA,2016-10-28 07:26:25,FALSE,NA,"791903935485337600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","degrp_growth",1,TRUE,FALSE,NA,NA
